eventname, baseres, simpointres, errorRate
cycles,531427369.25531894,522351255.76482624,-0.01707874681578956
insts,200006603.88297883,200005973.67955637,-3.1509130709789125e-06
icache_access,286489772.1223402,283641681.17509663,-0.009941335518349137
icache_hit,271614170.24999994,268864982.92916054,-0.01012166382302142
icache_to_L2,2020382.2819148935,2005187.1509671,-0.007520918730979883
itlb_access,171686102.4202128,173397059.51433232,0.009965612067608369
itlb_hit,169585598.36170208,171229992.64249873,0.00969654438043369
itlb_to_ptw,422454.3085106384,416897.67674870003,-0.013153213613865799
npc_from_f1,408701513.1329788,401946497.60824126,-0.016527992453357187
npc_from_f2,45369653.92553192,45022639.0620052,-0.007648611649017519
npc_from_f3,26871844.632978726,27061826.670920502,0.007069929159556801
npc_from_core,7742728.984042553,7819547.2400033,0.009921341185913384
fb_out_zero,94529618.92021275,92593675.14917581,-0.020479758547116977
fb_out_full,396252729.9042553,388880935.4218958,-0.018603769579431495
fb_out_notFull,40645020.43085104,40876645.193754606,0.005698724233577998
dec_out_zero,385282682.5638299,375161633.11809564,-0.026269152245267356
dec_out_full,121633833.87234038,122062230.15068759,0.003522015747664653
dec_out_notFull,24510852.81914894,25127392.496043,0.025153742362338114
brmask_stall,6597071.297872342,7606601.048274201,0.1530269576937039
rename_stall,6154953.861702126,6247617.930856701,0.015055201263352554
dis_out_zero,380056247.5585106,370180298.1878678,-0.02598549407906353
dis_out_full,111372751.57446812,111921987.4603257,0.004931510428655808
dis_out_notFull,39998370.12234041,40248970.1166327,0.006265255147292131
dis_ldq_stall,123079453.25,115130497.1096016,-0.06458394094627974
dis_stq_stall,88801966.54255319,85480004.6427845,-0.0374086524106065
dis_rob_stall,103416428.23404253,101471016.2700941,-0.018811440282444792
iss_uop_num,284048047.9734043,285357609.24269384,0.004610351236816698
iss_val_zero,346572412.0904256,337072058.80347466,-0.027412318336729496
iss_val_full,17971920.18085107,17986080.6806938,0.0007879235885891058
iss_val_notFull,166883036.98404253,167293116.28065768,0.0024572856775992493
spec_miss_issuop,26064019.723404266,26345477.841412805,0.010798722568330582
exe_is_ld,65062077.84042551,65275379.3258337,0.0032784302698008008
exe_is_st,43230223.26595747,42667886.6847731,-0.013007949964190642
dtlb_access,177268703.61702138,177639928.40974182,0.0020941361060689335
dtlb_miss_num,61167436.06914894,61835860.3517892,0.010927779969142593
dtlb_to_ptw,27418534.664893605,27809399.926574998,0.014255512428308302
dcache_access,124283784.87765954,121883364.24081151,-0.019314029092459002
dcache_nack_num,16916159.840425536,15319681.544902602,-0.0943759287322254
dcache_to_L2,3293653.4840425523,3250023.3357922,-0.013246732985645325
exe_is_br,33375587.53723405,33798751.5059333,0.012678847023356983
exe_is_jalr,7585411.898936167,7491440.271395001,-0.012388467336143735
exe_is_ret,5523751.670212766,5463752.2612312,-0.010862075734707176
exe_is_jalrcall,1196247.9680851065,1159090.3101542,-0.031061835775057996
exe_misp_br,1917560.6382978729,2014579.3512306002,0.05059486046753973
exe_misp_jalr,1181576.2393617025,1181312.8630925,-0.0002229024758865536
exe_misp_ret,488515.95212765946,510597.5039544,0.04520129123842855
exe_misp_jalrcall,177690.09574468082,157099.5478133,-0.11587898495460845
com_is_ld,48872352.122340456,48808189.63155661,-0.0013128586613394859
com_is_st,30614671.27659573,29950817.447774403,-0.02168417301703415
com_is_br,29086283.35106383,29409669.6510147,0.011118171959190647
com_is_jalr,6025810.468085108,5916766.706018999,-0.018096115475859167
com_is_ret,4156896.8138297875,4071466.9621521,-0.020551352488102793
com_is_jalrcall,1039494.7872340425,1009199.6422105002,-0.029144104805136826
com_misp_br,1318248.377659574,1377125.2300954,0.04466294321587288
com_misp_jalr,840896.6755319148,821410.3273904001,-0.02317329668260191
com_misp_ret,177141.64361702127,176480.7775499,-0.003730721097688683
com_misp_jalrcall,159841.41489361695,140206.1343945,-0.12284225907400337
l2tlb_miss,606733.8723404254,612921.9408827999,0.010198983153033095
misalign_excpt,0.0,0.0,0
lstd_pagefault,447.6382978723404,129.473349,-0.7107634677028375
fetch_pagefault,0.26595744680851063,0.159574,-0.40000176000000004
mini_exception,836373.0744680854,849286.9388174,0.015440315743697898
rollback_cycles,9441248.07446808,9601063.644688997,0.016927377499284857
dec_uops_not_delivered,215610104.18617022,212749697.81666803,-0.013266569209726584
iss_int_uops,257984028.25000003,259012131.40128097,0.0039851426394685715
iss_fp_uops,5696.462765957445,1532.0239498999997,-0.7310569711689318
recovery_cycles,39630266.132978715,39776069.68424751,0.003679095940954628
fetch_lat_cause_cycles,90961039.4574468,89028914.5281359,-0.021241236257142658
no_exe_cycles,360564892.0265957,351340003.7235345,-0.025584543883936287
one_exe_cycles,102165901.68617019,101666623.3645144,-0.004886936966400605
iq_empty_cycles,98271291.07446806,96889578.90597901,-0.014060181293863529
memstall_anyload_cycles,93378585.9521277,93051305.3240625,-0.0035048788191436664
memstall_stores_cycles,28208589.079787247,27377260.042452406,-0.029470776967378574
fb_out_uops_num,833150480.2393614,818638516.037546,-0.017418179003685058
dec_val_uops_num,787590500.787234,772401755.2355592,-0.01928507966575632
dec_fire_uops_num,267778520.56382975,269251852.7974182,0.005502055319770252
exe_misp_MPKI,15.495181773595897,15.978965528084228,0.031221560453889456
com_misp_MPKI,10.795376611064102,10.992340158920948,0.01824517614836891
user_ipc,0.3763573640613298,0.38289555442287165,0.017372292894676594
icache_to_l2_rate,0.00705219689676086,0.007069437547612282,0.0024447205748524964
itlb_to_ptw_rate,0.0024606202980638134,0.0024042949627657378,-0.022890705787640745
dcache_to_l2_rate,0.02650107161835074,0.026665028127800562,0.006186787908466701
dtlb_to_ptw_rate,0.15467216776250442,0.15654926330768507,0.012135961966104227
npc_from_f1_rate,0.8363278874640634,0.8341726091012023,-0.002577073412434455
npc_from_f2_rate,0.09284014275271349,0.09343694376851946,0.006428264736683987
npc_from_f3_rate,0.05498798593106601,0.0561622870094724,0.021355593563265152
l1_frontend_bound,0.20285942789162456,0.20364620116128573,0.0038784160925539922
l1_bad_speculation,0.1291273850724531,0.13263089500119066,0.027132199159548804
l1_retire,0.1881786820306649,0.19144777721143583,0.017372292894676594
l1_backend_bound,0.4798345050052575,0.47227512662608784,-0.015754136687370614
l1_bad_spec_wpath,0.4224830767899823,0.4258643368927207,0.008003303063472068
l1_bad_spec_recovery,0.5775169232100176,0.5741356631072794,-0.00585482427760578
l2_fetch_latency,0.17116363348938748,0.1704387872060915,-0.0042348147706324155
l2_fetch_bandwidth,0.031695794402237076,0.03320741395519422,0.047691486566762135
l2_branch_mispredicts,0.09306005199683108,0.0956687396384115,0.02803230371791817
l2_machine_clears,0.03606733307562203,0.03696215536277915,0.024809771359611085
l2_memory_bound,0.22879358886293946,0.23055092533506694,0.007680881622868462
l2_core_bound,0.4570188546117151,0.45120688466702374,-0.012717133846981487
